"Group.1","beetle","bird","bush.cricket","buzz","CF.FMd","CF.FMd.CF","cicada","FMd","FMd.QCF","FMu.CF.FMd","FMu.QCF","FMu.QCF.FMd","frog","grasshopper","ground.cricket","insect","moth","noise","other.mammal","QCF.FMd","MainMode","FreqM","FreqP","FreqC","Tstart","Tend","NbCris","DurMed","Dur90","Ampm50","Ampm90","AmpSMd","DiffME","SR","Ramp90","Order","Ind","SpMaxF2","Version","Filename","Commentaire","IdMan","temps_debut","temps_debut.1","espece","Group","probabilite","frequence","diff"
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_014018_015",0.044,0.144,0.154,0.386,0.01,0.012,0.02,0.102,0.068,0.01,0.006,0.014,0.048,0.002,0.01,0.042,0.04,0.18,0.046,0.024,36,35,36,35.2,3.6,3.7,2,3,3,19.5,28,8,11.3,384000,-1.1,"N2",0.386,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_014018_015.wav",NA,NA,1.1,3.7,"noise","noise",0.93,25,10
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_014641_840",0.036,0.022,0.136,0.22,0.002,0,0.01,0.178,0.06,0.032,0.002,0.004,0.03,0.002,0,0.024,0.046,0.19,0.006,0,33.8,33,33.8,34.5,1.2,1.3,1,0,0,35.7,35.7,16,33.8,384000,-0.3,"N2",0.22,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_014641_840.wav",NA,NA,0.9,1.3,"noise","noise",0.96,20,13
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_015057_548",0.036,0.076,0.186,0.222,0.004,0,0.004,0.044,0.026,0.01,0.004,0.008,0.046,0.002,0,0.022,0.07,0.178,0.044,0.018,48,50,48,0,0.8,0.9,1,3,3,13.6,13.6,5,0,384000,-2,"N4",0.222,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_015057_548.wav",NA,NA,0.8,3.5,"noise","noise",0.93,39,11
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_015321_989",0.068,0.016,0.138,0.316,0.006,0,0.004,0.068,0.014,0.008,0,0.002,0.012,0,0,0.036,0.05,0.258,0.004,0,20.2,23,20.2,21.8,0,0.1,1,0,0,45.5,45.5,21,45.4,384000,-0.3,"N3",0.316,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_015321_989.wav",NA,NA,0,0.1,"tyllil","bush-cricket",0.05,24,1
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_025757_074",0.09,0.032,0.164,0.256,0.002,0,0.012,0.05,0.032,0.006,0,0.004,0.062,0.002,0,0.038,0.04,0.198,0.012,0,41.2,41,41.2,41.2,2.4,2.5,1,0,0,14.8,14.8,7,10.5,384000,3.3,"N2",0.256,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_025757_074.wav",NA,NA,2.3,2.5,"noise","noise",0.05,32,9
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_030523_955",0.048,0.054,0.154,0.978,0.008,0,0.028,0.174,0.076,0.032,0.008,0.018,0.024,0.004,0.002,0.044,0.03,0.09,0.024,0.014,37.5,37,37.5,39,3.2,4.1,7,0,1,44,69.2,15,40.5,384000,-1.4,"N2",0.978,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_030523_955.wav",NA,NA,0,4.5,"pippyg","bat",0.96,56,19
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_030523_955",0.082,0.078,0.308,0.91,0.014,0.004,0.018,0.336,0.088,0.036,0.01,0.026,0.062,0.02,0.006,0.122,0.106,0.152,0.046,0.046,51.1,50,48.8,50.6,1.9,3.8,24,1,2,36,76.2,14,29.4,384000,-1.3,"N3",0.91,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_030523_955.wav",NA,NA,0,4.5,"pippyg","bat",0.96,56,6
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_032900_475",0.092,0.044,0.142,0.284,0.012,0.006,0.028,0.212,0.076,0.08,0.006,0.012,0.028,0.008,0.004,0.102,0.046,0.196,0.04,0.016,27,27,27,13.1,3.1,3.4,3,2,3,26.2,55.1,13,24,384000,-0.3,"N4",0.284,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_032900_475.wav",NA,NA,0,4,"noise","noise",0.15,38,11
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_041547_233",0.042,0.044,0.144,0.198,0.006,0,0.01,0.09,0.062,0.042,0.002,0.004,0.048,0.002,0,0.042,0.058,0.168,0.032,0.006,54.8,54,54.8,0,0.1,0.2,1,1,1,21.5,21.5,10,20.1,384000,2.5,"N3",0.198,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_041547_233.wav",NA,NA,0.1,3.3,"noise","noise",0.97,24,30
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_042210_938",0.024,0.012,0.074,0.478,0.018,0.002,0.002,0.176,0.09,0.034,0.002,0.004,0.01,0.002,0.002,0.048,0.028,0.058,0.004,0.014,41.3,37,40.5,16.9,0.7,0.9,2,2,2,21.7,27,10,20.6,384000,-2.4,"N3",0.478,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_042210_938.wav",NA,NA,0,4.6,"eptser","bat",0.95,33,4
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_043608_360",0.11,0.012,0.044,0.256,0.02,0.002,0.01,0.236,0.052,0.04,0,0,0.008,0,0,0.026,0.03,0.154,0,0,42.8,39,42.8,34.5,4.8,4.9,1,1,1,32.4,32.4,15,31.1,384000,-1.6,"N4",0.256,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_043608_360.wav",NA,NA,3.8,5,"noise","noise",0.92,25,14
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_044409_672",0.166,0.006,0.142,0.274,0.006,0,0.002,0.06,0.036,0.006,0,0.004,0,0,0,0.044,0.062,0.192,0,0,72.8,68,72.8,72,2.7,2.8,1,0,0,75.4,75.4,35,54.7,384000,4.4,"N6",0.274,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_044409_672.wav",NA,NA,0.1,2.8,"noise","noise",0.14,69,1
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_052001_895",0.026,0.002,0.03,0.898,0.004,0,0,0.13,0.03,0.018,0,0,0,0.002,0,0.012,0.016,0.08,0.002,0,52.7,54,53.2,61.5,3.1,3.2,3,0,1,127.3,153.8,66,118.9,384000,-1,"N2",0.898,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_052001_895.wav",NA,NA,0.3,5,"pippyg","bat",0.98,58,4
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_052001_895",0.016,0.022,0.128,0.338,0.02,0.002,0.01,0.308,0.312,0.068,0.002,0.008,0.026,0.002,0,0.04,0.048,0.138,0.004,0.008,65.8,70,66.4,28.9,4.1,4.2,1,2,2,88.5,147.6,28,58.8,384000,-1.1,"N5",0.338,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_052001_895.wav",NA,NA,0.3,5,"pippyg","bat",0.98,58,12
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_052001_895",0.038,0.012,0.042,0.404,0.006,0,0,0.208,0.052,0.038,0.002,0.002,0.006,0,0,0.022,0.02,0.138,0.006,0.004,31.5,34,31.5,0,4.2,4.3,1,1,1,49.6,49.6,24,49.6,384000,-1.4,"N7",0.404,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_052001_895.wav",NA,NA,0.3,5,"pippyg","bat",0.98,58,24
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_052001_895",0.068,0.012,0.04,0.33,0.008,0,0,0.256,0.056,0.028,0,0.004,0.008,0,0,0.034,0.022,0.132,0.002,0,42.8,39,42.8,0,4.2,4.3,1,1,1,34.2,34.2,16,32,384000,-2.6,"N8",0.33,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_052001_895.wav",NA,NA,0.3,5,"pippyg","bat",0.98,58,19
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_052006_895",0.024,0.002,0.086,0.772,0.002,0,0.002,0.034,0.018,0.006,0,0,0.008,0,0,0.026,0.012,0.04,0.002,0,47.3,52,47.2,0,0.7,0.8,2,1,1,117.3,133,56,74.9,384000,-0.9,"N2",0.772,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_052006_895.wav",NA,NA,0,4.2,"pippyg","bat",0.97,62,10
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_052006_895",0.008,0.002,0.008,0.456,0.008,0,0,0.374,0.234,0.016,0.002,0,0,0,0,0.004,0.004,0.004,0.002,0.002,70.9,72,70.9,56.6,1.9,2.1,2,6,8,179.7,181.7,81,169.4,384000,-1.2,"N4",0.456,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_052006_895.wav",NA,NA,0,4.2,"pippyg","bat",0.97,62,10
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_053051_582",0.054,0,0.044,0.762,0.006,0,0,0.108,0.048,0.084,0,0.004,0,0,0,0.012,0.044,0.114,0,0,48.5,51,49.9,50.6,1.8,1.9,2,0,1,55.9,69.5,23,44.7,384000,-1.7,"N3",0.762,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_053051_582.wav",NA,NA,0,5,"pippyg","bat",0.82,63,12
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_053051_582",0.042,0.002,0.042,0.502,0.008,0,0,0.158,0.078,0.016,0,0,0.004,0.002,0,0.02,0.02,0.106,0,0,39.8,40,39.8,44.2,1.8,1.9,1,0,0,101.6,101.6,42,101.4,384000,-1.4,"N6",0.502,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_053051_582.wav",NA,NA,1.8,2,"leppun","bush-cricket",0.41,36,4
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_053353_213",0.09,0.038,0.156,0.32,0.002,0,0.01,0.076,0.024,0.008,0.002,0.002,0.034,0.004,0.002,0.07,0.084,0.206,0.018,0.012,40.5,38,40.5,18.8,2.6,2.7,1,1,1,39.3,59.8,19,38.6,384000,-0.5,"N2",0.32,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_053353_213.wav",NA,NA,2.6,2.8,"noise","noise",0.93,34,4
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_053949_045",0.032,0.008,0.126,0.82,0.004,0.002,0.002,0.156,0.046,0.028,0.002,0,0.002,0.002,0,0.038,0.03,0.206,0.004,0.008,51.4,56,51.4,24.4,1.1,1.3,4,2,3,108.2,111.6,51,107.2,384000,-1.4,"N3",0.82,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_053949_045.wav",NA,NA,0,3.1,"pippip","bat",0.97,57,1
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_053949_045",0.058,0.01,0.118,0.45,0.004,0.002,0.004,0.164,0.06,0.026,0,0.006,0.016,0.004,0.004,0.036,0.034,0.18,0.014,0.002,38.6,42,40.1,44.2,1.2,1.3,1,1,1,57,64.9,26,45.4,384000,-1.5,"N5",0.45,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_053949_045.wav",NA,NA,0,3.1,"pippip","bat",0.97,57,15
"Car340881-2020-Pass1-Z2-X-9388-0_20200611_054350_631",0.05,0.054,0.212,0.472,0.004,0.002,0.004,0.198,0.056,0.028,0,0.004,0.004,0.016,0.004,0.038,0.024,0.134,0.034,0.012,66,69,65.2,64.5,1.9,2,2,5,5,117,199.6,52,112.6,384000,-1.4,"N4",0.472,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200611_054350_631.wav",NA,NA,0.4,4.1,"pippyg","bat",0.85,62,7
