"Group.1","beetle","bird","bush.cricket","buzz","CF.FMd","CF.FMd.CF","cicada","FMd","FMd.QCF","FMu.CF.FMd","FMu.QCF","FMu.QCF.FMd","frog","grasshopper","ground.cricket","insect","moth","noise","other.mammal","QCF.FMd","MainMode","FreqM","FreqP","FreqC","Tstart","Tend","NbCris","DurMed","Dur90","Ampm50","Ampm90","AmpSMd","DiffME","SR","Ramp90","Order","Ind","SpMaxF2","Version","Filename","Commentaire","IdMan","temps_debut","temps_debut.1","espece","Group","probabilite","frequence","diff"
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_215517_227",0.046,0.042,0.196,0.682,0.02,0.002,0.016,0.17,0.068,0.146,0.026,0.026,0.018,0.006,0,0.028,0.062,0.324,0.036,0.046,79.3,80,80.2,81.8,4.7,4.9,6,0,1,36.2,56.9,13,28,384000,-1.8,"N5",0.682,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_215517_227.wav",NA,NA,0,5,"noise","noise",0.9,32,48
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_215646_413",0.066,0.048,0.22,0.91,0.02,0.002,0.024,0.436,0.086,0.052,0.012,0.036,0.062,0.008,0.008,0.058,0.046,0.566,0.048,0.034,36.5,38,36.8,36.8,1.1,4.4,5,0,1,33.7,50.6,14,30.2,384000,-0.3,"N2",0.91,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_215646_413.wav",NA,NA,0.2,5,"noise","noise",0.68,27,11
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_220035_767",0.012,0.006,0.024,0.876,0.028,0.004,0,0.45,0.72,0.034,0,0.006,0,0,0,0.012,0.008,0.108,0.006,0.016,55,52,54.8,50.2,4,4.4,5,1,20,66.4,212.4,24,59.3,384000,-0.9,"N2",0.876,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_220035_767.wav",NA,NA,0,5,"pippip","bat",0.99,52,0
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_220035_767",0.036,0.028,0.15,0.876,0.014,0.006,0.012,0.162,0.076,0.04,0.01,0.014,0.01,0.004,0.002,0.024,0.03,0.514,0.014,0.02,45,43,43.1,43.1,3.7,4.6,4,1,6,34.5,56.2,13,31.5,384000,-1.4,"N3",0.876,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_220035_767.wav",NA,NA,0,5,"pippip","bat",0.99,52,9
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_220114_979",0.034,0.024,0.176,0.346,0.016,0,0.008,0.286,0.074,0.072,0.004,0.01,0.006,0.004,0,0.032,0.034,0.202,0.018,0.008,22.5,25,22.5,22.1,2,2.2,1,2,3,54.2,60.8,24,42.8,384000,-0.7,"N4",0.346,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_220114_979.wav",NA,NA,0.5,2.7,"noise","noise",0.9,30,5
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_220337_073",0.056,0.068,0.158,0.38,0.012,0.004,0.01,0.102,0.054,0.052,0.012,0.006,0.02,0.002,0.002,0.05,0.036,0.336,0.038,0.004,44.2,43,44.2,37.9,2.7,2.8,1,2,3,52.2,80.3,23,49.4,384000,-0.8,"N4",0.38,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_220337_073.wav",NA,NA,0.1,3.1,"noise","noise",0.94,22,21
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221338_421",0.056,0.024,0.098,0.226,0.008,0.002,0.006,0.116,0.076,0.06,0.002,0.002,0.01,0,0.002,0.04,0.022,0.224,0.018,0.008,21.8,22,21.8,0,0.6,0.7,1,2,2,37.5,37.5,18,34.8,384000,-1.4,"N4",0.226,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221338_421.wav",NA,NA,0.5,4.8,"noise","noise",0.93,26,4
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221445_202",0.036,0.084,0.102,0.352,0.016,0.008,0.004,0.138,0.098,0.042,0.006,0.004,0.016,0.004,0.022,0.044,0.03,0.254,0.026,0.022,44.6,43,44.6,19.9,1.4,4.4,1,3,4,34,53.4,15,33.9,384000,-0.7,"N4",0.352,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221445_202.wav",NA,NA,0,4.5,"noise","noise",0.76,32,11
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221600_717",0.024,0.008,0.078,0.676,0.012,0.002,0.006,0.146,0.048,0.088,0.002,0.018,0.004,0.004,0,0.032,0.026,0.124,0.008,0.004,51.9,52,52.5,49.5,1.4,3.6,3,1,2,22.9,33,9,20.3,384000,-2.7,"N3",0.676,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221600_717.wav",NA,NA,0,4.9,"pippip","bat",0.99,50,2
"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221712_713",0.096,0.014,0.142,0.282,0.002,0,0.008,0.062,0.02,0.022,0,0.004,0.03,0,0,0.072,0.046,0.19,0.008,0.002,46.5,40,46.5,44.2,1.1,1.2,1,2,2,59.7,59.7,29,58.9,384000,-0.9,"N7",0.282,"buzz",26,"Car340881-2020-Pass1-Z2-X-9388-0_20200610_221712_713.wav",NA,NA,0,4.6,"noise","noise",0.8,31,9
