"NumeroSequence","Espece","TempsDebutSequence","TempsFinSequence","DureeSequence","Nuit"
51,"pippip",2020-06-10 19:36:34.281,2020-06-10 19:36:36.181,1.90000009536743,"2020-06-10"
52,"pippip",2020-06-10 19:37:22.889,2020-06-10 19:37:34.061,11.172000169754,"2020-06-10"
53,"pippip",2020-06-10 19:37:59.961,2020-06-10 19:38:04.661,4.70000004768372,"2020-06-10"
54,"pippip",2020-06-10 19:38:10.361,2020-06-10 19:38:14.461,4.09999990463257,"2020-06-10"
55,"pippip",2020-06-10 19:41:26.919,2020-06-10 19:41:34.219,7.29999995231628,"2020-06-10"
56,"pippip",2020-06-10 19:42:00.305,2020-06-10 19:42:06.405,6.09999990463257,"2020-06-10"
57,"pippip",2020-06-10 19:42:09.175,2020-06-10 19:42:11.975,2.79999995231628,"2020-06-10"
58,"pippip",2020-06-10 19:42:31.509,2020-06-10 19:42:38.009,6.5,"2020-06-10"
59,"pippip",2020-06-10 19:42:41.509,2020-06-10 19:42:46.783,5.2739999294281,"2020-06-10"
60,"pippip",2020-06-10 19:42:50.075,2020-06-10 19:42:51.775,1.70000004768372,"2020-06-10"
61,"pippip",2020-06-10 19:42:56.375,2020-06-10 19:43:06.875,10.5,"2020-06-10"
62,"pippip",2020-06-10 19:43:14.375,2020-06-10 19:43:19.875,5.5,"2020-06-10"
63,"pippip",2020-06-10 19:43:23.24,2020-06-10 19:43:23.94,0.699999809265137,"2020-06-10"
64,"pippip",2020-06-10 19:43:29.061,2020-06-10 19:43:53.161,24.0999999046326,"2020-06-10"
65,"pippip",2020-06-10 19:43:55.861,2020-06-10 19:43:57.561,1.70000004768372,"2020-06-10"
66,"pippip",2020-06-10 19:44:02.234,2020-06-10 19:44:08.326,6.09199976921082,"2020-06-10"
67,"pippip",2020-06-10 19:44:11.167,2020-06-10 19:44:13.567,2.40000009536743,"2020-06-10"
68,"pippip",2020-06-10 19:44:16.969,2020-06-10 19:44:19.669,2.70000004768372,"2020-06-10"
69,"pippip",2020-06-10 19:44:25.269,2020-06-10 19:44:25.469,0.200000047683716,"2020-06-10"
70,"pippip",2020-06-10 19:44:30.007,2020-06-10 19:44:43.707,13.7000000476837,"2020-06-10"
71,"pippip",2020-06-10 19:44:46.107,2020-06-10 19:45:09.707,23.6000001430511,"2020-06-10"
72,"pippip",2020-06-10 19:45:16.529,2020-06-10 19:45:26.429,9.90000009536743,"2020-06-10"
73,"pippip",2020-06-10 19:45:31.529,2020-06-10 19:45:36.529,5,"2020-06-10"
74,"pippip",2020-06-10 19:45:41.629,2020-06-10 19:45:51.529,9.90000009536743,"2020-06-10"
75,"pippip",2020-06-10 19:45:56.629,2020-06-10 19:46:01.529,4.90000009536743,"2020-06-10"
76,"pippip",2020-06-10 19:46:05.859,2020-06-10 19:46:14.16,8.30099987983704,"2020-06-10"
77,"pippip",2020-06-10 19:46:22.474,2020-06-10 19:46:27.174,4.70000004768372,"2020-06-10"
78,"pippip",2020-06-10 19:46:29.797,2020-06-10 19:46:37.397,7.60000014305115,"2020-06-10"
79,"pippip",2020-06-10 19:46:41.462,2020-06-10 19:46:56.663,15.2009999752045,"2020-06-10"
80,"pippip",2020-06-10 19:46:59.469,2020-06-10 19:47:09.469,10,"2020-06-10"
81,"pippip",2020-06-10 19:47:14.469,2020-06-10 19:47:16.669,2.20000004768372,"2020-06-10"
82,"pippip",2020-06-10 19:47:22.037,2020-06-10 19:47:25.637,3.60000014305115,"2020-06-10"
83,"pippip",2020-06-10 19:47:31.037,2020-06-10 19:47:36.637,5.60000014305115,"2020-06-10"
84,"pippip",2020-06-10 19:47:38.949,2020-06-10 19:48:09.745,30.7959997653961,"2020-06-10"
85,"pippip",2020-06-10 19:48:17.023,2020-06-10 19:48:18.323,1.30000019073486,"2020-06-10"
86,"pippip",2020-06-10 19:48:23.515,2020-06-10 19:48:26.415,2.90000009536743,"2020-06-10"
87,"pippip",2020-06-10 19:48:36.927,2020-06-10 19:48:40.827,3.90000009536743,"2020-06-10"
88,"pippip",2020-06-10 19:48:42.921,2020-06-10 19:48:45.421,2.5,"2020-06-10"
89,"pippip",2020-06-10 19:48:50.485,2020-06-10 19:48:58.7,8.21500015258789,"2020-06-10"
90,"pippip",2020-06-10 19:49:05,2020-06-10 19:49:06,1,"2020-06-10"
91,"pippip",2020-06-10 19:49:08.619,2020-06-10 19:49:28.442,19.8229999542236,"2020-06-10"
92,"pippip",2020-06-10 19:49:30.747,2020-06-10 19:49:49.847,19.0999999046326,"2020-06-10"
93,"pippip",2020-06-10 19:49:55.085,2020-06-10 19:50:00.185,5.09999990463257,"2020-06-10"
94,"pippip",2020-06-10 19:50:07.009,2020-06-10 19:50:17.446,10.4370000362396,"2020-06-10"
